City,Count
Kalyan,6591
Patna,5924
Vasai-Virar,5765
Kolkata,5689
Ahmedabad,5613
Meerut,5528
Ludhiana,5226
Pune,5210
Rajkot,5207
Visakhapatnam,5176
Srinagar,5074
Mumbai,4966
Indore,4872
Agra,4684
Surat,4636
Varanasi,4606
Vadodara,4568
Hyderabad,4496
Kanpur,4398
Jaipur,4328
Thane,4289
Lucknow,4280
Nagpur,4209
Bangalore,4123
Chennai,4044
Ghaziabad,3620
Delhi,3593
Bhopal,3475
Faridabad,3268
Nashik,3144
Mihir,7
Nandini,4
Harsha,3
Pratyush,3
City,3
Saanvi,3
Vidya,3
Mahi,3
Bhavna,3
MCA,2
Ayush,2
M.Com,2
Nalini,2
Keshav,2
Molkata,2
Atharv,2
Ishkarsh,1
ME,1
Kashk,1
Morena,1
Parth,1
Moreadhyay,1
Tushar,1
MSc,1
No,1
Rashi,1
Khushi,1
Ayansh,1
Tolkata,1
Anvi,1
Krinda,1
Shrey,1
Ivaan,1
Vaanya,1
Gaurav,1
Harsh,1
Reyansh,1
Kashish,1
Kibara,1
Vaishnavi,1
Mira,1
Raghavendra,1
Less than 5 Kalyan,1
3.0,1
Khaziabad,1
Jhanvi,1
Unirar,1
Researcher,1
Kagan,1
Armaan,1
Ithal,1
Nalyan,1
Dhruv,1
Galesabad,1
Itheg,1
Aaradhya,1
Pooja,1
Ishanabad,1
Vidhi,1
Gurgaon,1
Krishna,1
Aishwarya,1
Aditya,1
Malyansh,1
M.Tech,1
Less Delhi,1
Plata,1
Chhavi,1
